Sample_Size,Replication,U_MSE,L_MSE,Sigma_MSE,lat_MSE,lon_MSE,rot_MSE
200,1,0.0136296,36.59117,0.34757147304844693,5.941082837213288,6.157245628822635,0.02794983672727003
200,2,0.013863906,34.995266,0.3813366610868343,6.274912461315167,5.717777757950025,0.02941244754007212
200,3,0.014315409,35.636517,0.37981641678038613,4.8434764821313765,6.02661208331456,0.04408693874885523
200,4,0.013863894,35.07638,0.38115235222448973,6.274912461315167,5.717777757950025,0.031907825409433606
200,5,0.014222185,34.970093,0.3773015300632778,5.9044357952818265,7.0533837443423195,0.024823521011178244
200,6,0.013873272,34.98158,0.381283660364943,6.274912461315167,5.689377807039793,0.02941244754007212
200,7,0.014316303,35.637115,0.37981818000935164,4.8434764821313765,6.02661208331456,0.04408693874885523
200,8,0.012305061,35.263577,0.37850160160814994,5.571620408307212,5.430185244048974,0.035435443415727116
200,9,0.013118491,37.183258,0.3572710832415851,6.7828641011072195,4.175195376664881,0.015124604805147107
200,10,0.013116024,37.201317,0.3573486117604716,6.718017494409793,4.175195376664881,0.018139279982853206
200,11,0.013208032,34.644344,0.3762946383196777,5.274326924658152,5.982021043271913,0.04579943079441124
200,12,0.012305961,35.26341,0.3785004281608053,5.571620408307212,5.430185244048974,0.035435443415727116
200,13,0.013863713,35.075836,0.3811488195824495,6.274912461315167,5.717777757950025,0.031907825409433606
200,14,0.013115865,37.201023,0.3573491818542607,6.718017494409793,4.175195376664881,0.018139279982853206
200,15,0.012305046,35.26303,0.3785004281608053,5.571620408307212,5.430185244048974,0.035435443415727116
200,16,0.014219153,35.12528,0.37798897840639256,5.751160212722737,6.647009433035017,0.024326598159453827
200,17,0.013807629,34.850163,0.38425264397687897,5.111289658946966,5.684936905461082,0.027490694578229013
200,18,0.0122817615,35.305866,0.37864712317605154,5.44968486174723,5.751256288843694,0.0405805623126218
200,19,0.014316236,35.637238,0.37981818000935164,4.8434764821313765,6.02661208331456,0.04408693874885523
200,20,0.011718106,37.75008,0.3594347694636326,5.70779890524533,4.98859710128641,0.034581276995338396
1000,1,0.011225712,7.202245,0.02672845303095528,8.337038146030148,6.2610560389256795,0.06685688848331166
1000,2,0.011250128,7.337294,0.026164707520592856,8.251979170853112,6.5806862604923815,0.0721142756501945
1000,3,0.01121829,7.2072577,0.026731883263892087,7.633214684312223,7.49892905231788,0.07179780820364516
1000,4,0.012306291,7.2469993,0.024808286804045565,6.3982146813048635,6.697463383272708,0.06225425608971775
1000,5,0.011185996,7.216637,0.02656561505227728,8.534781910253587,7.564677098414116,0.04488536894621716
1000,6,0.011186495,7.2165146,0.026565304175164783,8.534781910253587,7.564677098414116,0.04488536894621716
1000,7,0.011212344,7.3517685,0.025946882510652358,7.6674225738370705,6.121728941772383,0.07095353470230485
1000,8,0.012437142,7.046355,0.026864739831808038,8.964029584269735,6.6925382085252,0.04595794999559343
1000,9,0.012306914,7.2471733,0.02480813659440173,6.3982146813048635,6.697463383272708,0.06225425608971775
1000,10,0.0112047745,7.3440056,0.025933673026884208,7.6674225738370705,5.20030402410401,0.07095353470230485
1000,11,0.012433021,7.047901,0.02686692823976955,8.901877536790442,6.6925382085252,0.05023442979989721
1000,12,0.012433459,7.0478396,0.026866302971257028,8.901877536790442,6.6925382085252,0.04917467256778232
1000,13,0.012436786,7.0464797,0.026864739831808038,8.964029584269735,6.6925382085252,0.04595794999559343
1000,14,0.011212756,7.3515296,0.025946114425323685,7.6674225738370705,6.121728941772383,0.07095353470230485
1000,15,0.011222926,7.1997695,0.02672128143694863,7.633214684312223,6.551722881706351,0.07371461313062419
1000,16,0.011212472,7.35178,0.025946421658090912,7.6674225738370705,6.121728941772383,0.07095353470230485
